城市,确诊,疑似,治愈,死亡
湖北,67794,0,54278,3085
广东,1357,0,1303,8
河南,1273,0,1250,22
浙江,1231,0,1211,1
湖南,1018,0,1014,4
安徽,990,0,984,6
江西,935,0,934,1
山东,760,0,741,7
江苏,631,0,631,0
重庆,576,0,570,6
四川,539,0,515,3
黑龙江,482,0,453,13
北京,442,0,353,8
上海,353,0,324,3
河北,318,0,310,6
福建,296,0,295,1
广西,252,0,243,2
陕西,245,0,232,2
云南,174,0,172,2
海南,168,0,160,6
贵州,146,0,143,2
香港,141,0,81,4
天津,136,0,132,3
山西,133,0,133,0
甘肃,132,0,91,2
辽宁,125,0,114,1
吉林,93,0,91,1
新疆,76,0,73,3
宁夏,75,0,73,0
内蒙古,75,0,71,1
台湾,59,0,20,1
青海,18,0,18,0
澳门,10,0,10,0
西藏,1,0,1,0
